1677628800000,1605.24000000,1640.72000000,1595.00000000,1638.38000000,97924.75600000,1677643199999,158476681.33009600,134334,49035.82560000,79313251.80361600,0
1677643200000,1638.39000000,1661.56000000,1635.62000000,1650.91000000,86020.33000000,1677657599999,142031023.91259300,131637,44301.24000000,73148823.53313000,0
1677657600000,1650.91000000,1669.72000000,1649.00000000,1656.33000000,55572.70140000,1677671999999,92003958.65031700,98303,28247.75360000,46766250.87749800,0
1677672000000,1656.33000000,1669.65000000,1646.06000000,1657.47000000,92830.64150000,1677686399999,153613226.96808100,140668,43421.09850000,71859769.16731200,0
1677686400000,1657.46000000,1660.34000000,1631.03000000,1634.79000000,68263.45780000,1677700799999,112592050.70110700,113056,32793.98250000,54088482.59008800,0
1677700800000,1634.79000000,1666.19000000,1631.44000000,1665.22000000,73844.93680000,1677715199999,121915312.04417200,107548,36010.79910000,59434897.63043800,0
1677715200000,1665.23000000,1677.86000000,1644.12000000,1647.94000000,72136.62380000,1677729599999,119483469.88343300,124723,35831.81110000,59376323.10911700,0
1677729600000,1647.95000000,1651.47000000,1639.08000000,1644.22000000,45754.00720000,1677743999999,75276998.25078900,84805,23614.73850000,38850994.40584200,0
1677744000000,1644.21000000,1648.69000000,1637.57000000,1644.49000000,57593.93540000,1677758399999,94635728.90170300,91154,26624.01600000,43743697.97933000,0
1677758400000,1644.49000000,1645.26000000,1619.18000000,1628.31000000,108333.69610000,1677772799999,176609420.99184000,152785,53660.11070000,87470380.90853400,0
1677772800000,1628.31000000,1652.48000000,1621.45000000,1648.48000000,78007.64970000,1677787199999,127563692.03289200,105157,39585.17040000,64689012.15622000,0
1677787200000,1648.47000000,1658.00000000,1640.51000000,1647.86000000,61197.89600000,1677801599999,100795567.44375100,85776,30592.50130000,50392252.09355900,0
1677801600000,1647.86000000,1649.25000000,1544.39000000,1565.44000000,317798.34160000,1677815999999,500652774.56092400,350838,151431.59640000,238308162.52659300,0
1677816000000,1565.43000000,1576.52000000,1562.39000000,1568.08000000,83045.53630000,1677830399999,130257809.27553900,120882,43050.65830000,67531961.34995100,0
1677830400000,1568.09000000,1574.42000000,1563.91000000,1564.57000000,60186.89890000,1677844799999,94376404.25519300,113643,29048.12100000,45549576.91203500,0
1677844800000,1564.57000000,1580.87000000,1560.56000000,1566.50000000,116030.14740000,1677859199999,182122038.03606500,166560,55969.09630000,87850130.33957800,0
1677859200000,1566.51000000,1574.66000000,1550.75000000,1565.39000000,93471.15760000,1677873599999,146287049.36990100,134179,44219.13430000,69205377.44925600,0
1677873600000,1565.40000000,1571.29000000,1547.21000000,1569.45000000,72284.51580000,1677887999999,112877921.24661400,122031,32324.25940000,50473545.98892200,0
1677888000000,1569.45000000,1577.53000000,1568.19000000,1570.84000000,37221.82100000,1677902399999,58521214.83187200,69117,19515.27460000,30684469.99121700,0
1677902400000,1570.85000000,1572.91000000,1562.71000000,1568.83000000,29596.52470000,1677916799999,46435440.70009700,68043,15046.85210000,23607436.96023800,0
1677916800000,1568.83000000,1571.23000000,1566.62000000,1569.24000000,25569.60620000,1677931199999,40113831.85950900,65070,12534.29920000,19663466.80694300,0
1677931200000,1569.24000000,1572.12000000,1561.64000000,1561.87000000,33605.26960000,1677945599999,52682137.34979500,72112,15886.17560000,24901669.76124900,0
1677945600000,1561.88000000,1565.64000000,1557.10000000,1559.47000000,39571.36430000,1677959999999,61818155.91238100,64154,18450.33350000,28822600.55541500,0
1677960000000,1559.48000000,1568.67000000,1549.12000000,1566.73000000,72075.67480000,1677974399999,112294856.14080200,103662,33090.70460000,51562812.85152800,0
1677974400000,1566.74000000,1588.77000000,1553.05000000,1567.85000000,97695.93950000,1677988799999,153685113.17732100,137583,48232.06900000,75886960.51159300,0
1677988800000,1567.86000000,1573.57000000,1567.71000000,1568.62000000,23529.63340000,1678003199999,36943093.74493000,59824,11364.81150000,17843377.55904800,0
1678003200000,1568.61000000,1573.07000000,1564.03000000,1568.50000000,32527.56420000,1678017599999,51035085.25410500,73057,15258.47260000,23938684.91785100,0
1678017600000,1568.49000000,1574.31000000,1568.00000000,1569.22000000,35841.27410000,1678031999999,56289353.78759900,70352,17752.57410000,27881013.16563500,0
1678032000000,1569.21000000,1571.91000000,1563.00000000,1566.22000000,33108.24610000,1678046399999,51924410.08720100,59007,16144.30130000,25321360.74671500,0
1678046400000,1566.22000000,1579.45000000,1556.15000000,1564.58000000,76538.08420000,1678060799999,119852042.41158200,105211,37500.62860000,58714898.68054000,0
