1704067200000,42283.58000000,42298.62000000,42261.02000000,42298.61000000,35.92724000,1704067259999,1519031.69451920,1327,23.18766000,980394.71034560,0
1704067260000,42298.62000000,42320.00000000,42298.61000000,42320.00000000,21.16779000,1704067319999,895580.86104560,1348,13.47483000,570080.79421810,0
1704067320000,42319.99000000,42331.54000000,42319.99000000,42325.50000000,21.60391000,1704067379999,914371.13818610,1019,11.21801000,474798.58741140,0
1704067380000,42325.50000000,42368.00000000,42325.49000000,42367.99000000,30.50730000,1704067439999,1291996.94651560,1241,24.04878000,1018449.08493940,0
1704067440000,42368.00000000,42397.23000000,42367.99000000,42397.23000000,46.05107000,1704067499999,1951945.19230310,1415,34.12804000,1446539.29389640,0
1704067500000,42397.22000000,42409.20000000,42385.26000000,42409.20000000,32.26766000,1704067559999,1368040.00988920,1255,20.99093000,889944.49439770,0
1704067560000,42409.19000000,42431.09000000,42405.89000000,42423.95000000,28.13597000,1704067619999,1193371.99752600,1410,15.57884000,660747.71529690,0
1704067620000,42423.94000000,42432.74000000,42414.45000000,42414.45000000,26.49738000,1704067679999,1124162.90710160,993,6.62244000,280969.22187980,0
1704067680000,42414.45000000,42420.07000000,42406.00000000,42420.07000000,28.00823000,1704067739999,1187955.61774510,686,18.05296000,765729.34727040,0
1704067740000,42420.06000000,42420.07000000,42403.99000000,42409.96000000,26.40178000,1704067799999,1119844.17050590,790,8.20639000,348060.83254010,0
1704067800000,42409.97000000,42440.06000000,42409.96000000,42440.05000000,22.61788000,1704067859999,959681.10710500,736,19.13842000,812061.74413190,0
1704067860000,42440.06000000,42480.68000000,42440.05000000,42479.32000000,31.81488000,1704067919999,1350940.18189710,1688,21.44103000,910359.50409360,0
1704067920000,42479.31000000,42479.32000000,42462.22000000,42462.24000000,25.25342000,1704067979999,1072439.16463010,901,5.84846000,248349.62923200,0
1704067980000,42462.24000000,42480.16000000,42460.00000000,42480.15000000,21.40862000,1704068039999,909149.54623510,762,13.69327000,581524.57215040,0
1704068040000,42480.16000000,42488.09000000,42465.78000000,42488.00000000,34.04769000,1704068099999,1446175.96732400,1080,13.13848000,558042.29542080,0
1704068100000,42488.00000000,42516.46000000,42482.47000000,42510.00000000,33.40445000,1704068159999,1419584.34628060,1709,22.96846000,976041.47107910,0
1704068160000,42510.01000000,42554.57000000,42510.00000000,42541.27000000,61.90631000,1704068219999,2633518.77233900,2049,38.74330000,1648048.77455680,0
1704068220000,42541.27000000,42541.27000000,42503.36000000,42503.36000000,27.71049000,1704068279999,1178139.07656960,833,5.71349000,242887.44529570,0
1704068280000,42503.36000000,42503.37000000,42467.28000000,42474.03000000,25.78878000,1704068339999,1095530.14653750,953,10.09214000,428673.18076560,0
1704068340000,42474.03000000,42476.50000000,42458.58000000,42458.85000000,14.51538000,1704068399999,616457.63445600,609,5.29852000,225037.66354750,0
1704068400000,42458.85000000,42465.48000000,42458.28000000,42459.31000000,19.02752000,1704068459999,807945.63929380,505,10.04046000,426347.06027640,0
1704068460000,42459.31000000,42459.31000000,42445.84000000,42446.00000000,40.51182000,1704068519999,1719881.62275250,777,10.77528000,457436.61668400,0
1704068520000,42446.01000000,42461.10000000,42446.00000000,42461.09000000,32.82982000,1704068579999,1393630.35561220,672,15.60496000,662454.88627470,0
1704068580000,42461.10000000,42473.15000000,42461.09000000,42468.18000000,12.69272000,1704068639999,539051.96584180,498,6.54559000,277983.88649900,0
1704068640000,42468.17000000,42491.10000000,42468.17000000,42473.93000000,12.20924000,1704068699999,518626.46703290,642,6.09649000,258960.73056890,0
1704068700000,42473.93000000,42500.00000000,42462.03000000,42499.99000000,23.92025000,1704068759999,1015908.83931730,727,16.88711000,717190.90830750,0
1704068760000,42500.00000000,42500.00000000,42463.62000000,42463.63000000,20.32232000,1704068819999,863254.47317010,775,6.55732000,278511.48708190,0
1704068820000,42463.63000000,42470.01000000,42426.00000000,42436.00000000,32.69329000,1704068879999,1387635.98089320,1330,10.54423000,447496.16826460,0
1704068880000,42436.01000000,42436.01000000,42415.74000000,42420.41000000,8.77715000,1704068939999,372366.45801280,588,3.32816000,141193.56743380,0
1704068940000,42420.41000000,42420.45000000,42412.02000000,42419.73000000,25.93935000,1704068999999,1100332.27729160,665,6.32515000,268301.94530590,0
